state_abbreviation,state,status,date_details,restriction_start,restriction_end,status_details,external_link,opened_industries,closed_entertainment,closed_food_and_drink,closed_outdoor_and_recreation,opened_houses_of_worship,opened_personal_care,opened_retail,opened_entertainment,opened_food_and_drink,opened_outdoor_and_recreation,population
GA,Georgia,reopened,Reopened April 24.,,,"Gov. Brian Kemp, a Republican, went toe-to-toe with the White House and local mayors over his decision to reopen large parts of Georgia’s economy ahead of other states. Mr. Kemp has continued steadily with reopening plans while case counts have trended upward, and he has firmly opposed recommendations for a statewide mask mandate. In mid-August, however, he amended an executive order to allow local areas to implement mask requirements.",https://www.ajc.com/politics/politics-blog/kemps-latest-order-allows-local-mask-mandates-for-the-first-time/GJRZ2AXEB5GEPN2TX6BPJGEC24/,,,,,True,"Hair salons, barbershops, etc.",Retail,"Bowling alleys; Theaters, private social clubs; Large venues; Bars, nightclubs",Restaurant dining,Gyms,10617423
HI,Hawaii,reopening,Reopened May 7.,,,"Gov. David Ige, a Democrat, started the state’s reopening process in early May, when there were only a few new cases reported each day. Since then, each island has set its own timeline for reopening, and in late August, Oahu returned to a nearly full shutdown. Four weeks later, Mr. Ige approved a plan for the island, which is home to the capital Honolulu, to reopen most businesses at limited capacity.",https://www.staradvertiser.com/2020/09/21/breaking-news/gov-ige-says-hes-reluctant-to-set-covid-19-benchmarks-for-reopening-closing/,Construction in some areas; Offices in some areas,,,,True,Pet groomers; Tattoo parlors in some areas; Salons and barbershops; Nail salons,Retail,Theaters; Arcades in some areas; Bowling alleys,Bars in some areas; Restaurant dining,State parks in some areas; Campgrounds in some areas; Gyms; Pools and waterparks; Beaches and parks,1415872
IA,Iowa,reversing,Reopened May 1.,,,"Gov. Kim Reynolds, a Republican, ordered a number of businesses to close in March, but did not issue a stay-at-home order. Ms. Reynolds began loosening restrictions on May 1, and capacity limits on businesses were lifted in June. In late August, Reynolds ordered bars in six counties to shutdown, citing increasing positivity rates among young adults. Ms. Reynolds allowed bars in four of the six counties to reopen nearly three weeks later.",https://www.siouxlandproud.com/news/iowa-news/governor-reynolds-extends-bar-closures-in-iowa-counties/,,,,,True,"Medical spas, tanning salons; Salons, barbershops, tattoo parlors, etc.","Retail stores, malls","Libraries; Movie theaters; Museums, zoos, aquariums; Casinos; Outdoor venues; Bowling alleys, amusement parks; Indoor venues",Restaurant dining; Bars in some counties,"Campgrounds; Gyms; Pools; Playgrounds, skating rinks, skate parks",3155070
ID,Idaho,pausing,Reopened May 1.,,,"Gov. Brad Little, a Republican, began his state’s four-stage reopening process on May 1. Idaho moved through the first three stages of reopening swiftly, but as cases surged, Mr. Little delayed a full reopening planned for June 26. The state has remained paused in its final stage for several months, re-evaluating every two weeks.",https://www.spokesman.com/stories/2020/sep/03/idaho-restrictions-remain-governor-encourages-flu-/,,,,,True,Hair salons,Retail,Movie theaters; Nightclubs; Large venues,Restaurant dining; Bars,Gyms; Pools and water parks,1787065
IL,Illinois,reversing,Reopened May 29.,,,"Gov. J.B. Pritzker, a Democrat, faced political pushback for his cautious reopening strategy, but while the state remained closed, cases trended downward. On June 26, the state moved into its fourth and final stage of reopening, but as transmission increased over the summer Mr. Pritzker introduced a ""mitigation"" plan for areas with increasing positive test rates. In August and September, Mr. Pritzker implemented these measures by closing indoor bars and restaurants in regions that saw an uptick in transmission.",https://www.wbez.org/stories/use-this-tool-to-track-illinois-reopening-plan-by-phase-region-and-address/51871836-6a73-47dc-a8f1-18c6fe2f2a6e,Manufacturing; Offices,,,,True,"Pet grooming; Hair salons, barber shops, nail salons, spas, waxing centers, tattoo parlors",Retail stores,"Museums, zoos; Theaters; Casinos in some areas",Restaurant dining in some areas; Bars in some areas,"State parks; limited fishing, boating, golf courses; Gyms",12671821
IN,Indiana,reopened,Reopened May 4.,,,"Gov. Eric Holcomb, a Republican, eased restrictions and allowed some reopenings beginning in early May. In July, citing an increase in cases, Mr. Holcomb paused progress toward the final stage of reopening and required face masks in most public settings. Mr. Holcomb allowed the state to progress to Phase 5, the final stage of reopening, in late September.",https://www.wthr.com/article/news/health/indiana-coronavirus-updates-for-september-23-2020/531-f3f4e91b-14bf-4722-84cd-c6a027d26de2,"Manufacturing, offices",,,,True,"Spas, salons, barbershops, tattoo parlors",Retail stores,"Libraries; Museums, zoos and aquariums; Venues; Movie theaters; Bowling alleys; Conventions, fairs, parades and similar events",Restaurant dining; Bars and nightclubs,"Gyms; Pools, tennis and basketball courts; Campgrounds; Amusement parks, water parks",6732219
KS,Kansas,reopened,Reopened May 4.,,,"After reopening began May 4, Gov. Laura Kelly, a Democrat, faced backlash from Republicans in the state legislature who wanted the process to move more quickly. She vetoed a measure seeking to curb her emergency powers, and allowed reopenings at the discretion of individual counties. Ms. Kelly ordered Kansans to wear masks in public beginning July 3.",https://www.kansas.com/news/politics-government/article244554662.html,Offices,,,,True,"Salons, barbershops, tattoo parlors",Retail stores,"Theaters, museums and bowling alleys; Casinos; Nightclubs",Restaurant dining; Bars,"Gyms; Community centers, sports facilities; Pools",2913314
KY,Kentucky,reopened,Reopened May 20.,,,"Gov. Andy Beshear, a Democrat, reopened businesses under new guidelines beginning in early May, then ordered residents to wear masks in public soon after the state had reached the end of its initial reopening timeline. As case numbers continued to climb, Mr. Beshear ordered bars to close again starting July 28 and restaurants to reduce indoor dining capacity. Mr. Beshear lifted those restrictions and allowed bars to reopen two weeks later.",https://www.rcnky.com/articles/2020/08/10/governor-delay-person-school-until-sept-28-bars-reopen-restaurants-expand,"Manufacturing, construction, offices",,,,True,"Pet grooming and boarding; Salons, barbershops, tattoo parlors, etc.",Retail stores,"Movie theaters; Bowling alleys; Museums, aquariums, libraries, outdoor attractions; Venues and events spaces",Restaurant dining; Distilleries; Bars,Gyms; Aquatic centers; Campgrounds; Public pools,4467673
LA,Louisiana,reopening,Reopened May 15.,,,"Gov. John Bel Edwards, a Democrat, allowed the state’s stay-at-home order to lift and an array of businesses to reopen starting May 15. In June, citing an increase in cases, Mr. Edwards said the state would remain in Phase 2 for several more weeks. As cases continued to climb, Mr. Edwards ordered bars to close again and required the use of masks in public. In September, Mr. Edwards announced that the state would enter a modified Phase 3, which allowed bars to reopen in areas with low positivity rates.",https://www.theadvertiser.com/story/news/2020/09/10/louisiana-phase-3-reopening-guidelines-residents-businesses-during-covid-19/5768604002/,,,,"Amusement parks, water parks and theme parks; Concert and music halls",True,"Salons and barbershops; Spas, tattoo parlors",Malls,"Movie theaters; Certain museums, zoos and aquariums; Casinos; Event centers",Restaurant dining; Bars in some parishes,"Gyms; State parks; Pools; Bowling alleys, skating rinks",4648794
MA,Massachusetts,pausing,Reopened May 18.,,,"Gov. Charlie Baker, a Republican, announced a phased reopening beginning in May. The state entered the first step of Phase 3 in early July. One month later, Mr. Baker announced that the state would indefinitely delay any further progression due to an increase in cases. Mr. Baker also announced he would reduce outdoor gathering limits to 50 people. Mr. Baker began to relax some restrictions in September, allowing arcades to reopen and relaxing restrictions on restaurants.",https://www.nbcboston.com/news/local/gov-baker-to-make-announcement-provide-coronavirus-update-3/2199902/,"Construction, manufacturing; Offices; Hotels, lodging","Ballrooms, stadiums and convention halls",Bars,,True,"Hair salons, barbershops; Pet grooming; Nail salons, massage parlors, tanning salons",Retail stores,"Bowling alleys; Museums, aquariums; Theaters and performance venues; Movie theaters; Casinos; Arcades",Restaurant dining,"Golf courses; Beaches, parks, fishing, hunting and boating; Gyms",6892503
MD,Maryland,reopened,Reopened May 15.,,,"Gov. Larry Hogan, a Republican who has called for an aggressive response to the virus, allowed some businesses to open with social distancing requirements starting May 15, but encouraged the adoption of more restrictive local guidelines as needed. In late July, Mr. Hogan said the state was “in a holding pattern” and “not ready to reopen further.” He later expanded a statewide mask order, requiring face coverings in nearly all public settings. In early September, Mr. Hogan announced that the state would be moving to the third and final phase of reopening, which allows all businesses to reopen, including movie theaters and live entertainment venues.",https://www.delmarvanow.com/story/news/local/maryland/2020/09/01/stage-3-maryland-reopening-larry-hogan-roadmap-recovery/5681415002/,"Manufacturing; Construction, offices",,,,True,"Hair salons, barbershops; Nail salons, massage parlors, tanning salons, tattoo parlors",Retail stores; Malls,Casinos; Movie theaters; Live entertainment venues,"Outdoor service at breweries, wineries, and distilleries; Restaurants; Bars","Golf courses, outdoor shooting ranges, marinas, campgrounds; Beaches; Outdoor pools and day camps; Gyms",6045680
ME,Maine,reopening,Reopened May 1.,,,"Gov. Janet Mills, a Democrat, allowed some businesses to begin reopening statewide in May and allowed additional, accelerated reopenings in counties with few coronavirus cases. More businesses were allowed to reopen statewide in June, but further reopenings, including of bars, have been delayed.",https://bangordailynews.com/2020/06/22/business/janet-mills-postpones-reopening-indoor-bar-service-citing-infections-in-other-states/,,,Bars for indoor service,,True,"Hair salons, barbershops, pet groomers; Nail salons and tattoo parlors; Spas and massage parlors",Retail stores,"Amusement parks, water parks; Bowling alleys and arcades; Movie theaters; Performing arts venues; Casinos",Restaurants; Bars open for outdoor service,"State parks, boating, golf courses; Remote campgrounds, hunting and fishing; Private campgrounds, RV parks; Gyms",1344212
MI,Michigan,reversing,Reopened June 1.,,,"Gov. Gretchen Whitmer, a Democrat, took a regional approach to reopening before lifting Michigan’s stay-at-home order on June 1. Ms. Whitmer has since paused further reopenings, and on July 1, she ordered bars in most of the state to close again for indoor service. She later mandated the use of masks in most public settings. In late July, citing a resurgence in cases connected to social gatherings, Ms. Whitmer limited indoor gatherings to 10 people and ordered bars to close for indoor service statewide. Ms. Whitmer allowed gyms to reopen in September, and later announced she would allow certain indoor facilities including movie theaters, bowling alleys and performance venues to reopen in early October.",https://www.freep.com/story/news/local/michigan/2020/09/25/michigan-movie-theaters-bowling-alleys-reopening/3531144001/,"Construction, real estate; Manufacturing, including auto companies; Offices",,Bars for indoor service,,True,"Pet groomers; Hair salons, barbershops, nail salons, tattoo parlors",Retail stores,"Arcades, theaters, and convention centers in some regions; Casinos",Restaurant dining; Bars for outdoor service,"Golf courses, marinas; Pools; Gyms; Bowling alleys for organized sports; Skating rinks for organized sports",9986857
MN,Minnesota,reopened,Reopened May 18.,,,"Gov. Tim Walz, a Democrat, first allowed employees in certain agriculture, industrial and office settings to return to work in late April. More businesses were allowed to open after his stay-at-home order expired in May. Mr. Walz later ordered the use of face masks in most public settings beginning July 25.",https://www.startribune.com/walz-mandates-masks-indoors-across-state/571861471/,Manufacturing; Offices,,,,True,"Salons, barbershops, tattoo parlors",Retail stores; Malls,"Theaters and concert halls; Bowling alleys, arcades and museums",Restaurants and bars,Campgrounds; Gyms,5639632
MO,Missouri,reopened,Reopened May 4.,,,"Gov. Mike Parson, a Republican, reopened all businesses in early May, with social distancing requirements, and lifted all restrictions on June 16. In September, Mr. Parson tested positive for the coronavirus.",https://abcnews.go.com/US/wireStory/wife-missouri-governor-tests-positive-covid-19-73198860,,,,,True,"Salons, barbershops, tattoo parlors, etc.",Retail stores,"Movie theaters, music venues, etc.; Casinos",Restaurant dining,Gyms; Campgrounds,6137428
MS,Mississippi,pausing,Reopened April 27.,,,"Gov. Tate Reeves, a Republican, let the state’s stay-at-home order expire April 27 and reopened retail stores, with some limits. All businesses were allowed to open in June, but in July Mr. Reeves said the state would pause a full reopening. As case numbers continued to climb, he tightened restrictions on social gatherings and bars statewide, and later issued a mask mandate. School reopenings were delayed for higher grades in certain counties. In September, Mr. Reeves allowed restaurants, retail stores and gyms to increase capacity to 75 percent.",https://www.wapt.com/article/covid-19-restrictions-loosened-for-mississippi-restaurants/34029960,,,,,True,Salons and barbershops; Tattoo parlors,Retail stores,"Casinos; Movie theaters; Libraries, museums","Restaurant dining, bars",State parks; Gyms,2976149
MT,Montana,reopened,Reopened April 26.,,,"Gov. Steve Bullock, a Democrat, allowed reopening in phases, beginning in late April. All businesses could reopen June 1, provided they followed certain guidelines. In July, citing rising case counts, Mr. Bullock ordered Montanans in certain counties to wear masks in many public settings. He later amended this order to include schools.",https://montanafreepress.org/2020/07/15/bullock-covid-masks-mandatory/,,,,,True,"Salons, barbershops, massage parlors",Retail stores,"Museums, movie theaters; Concert venues; Bowling alleys; Casinos","Restaurant dining, bars, breweries and distilleries",Gyms,1068778
NC,North Carolina,reopening,Reopened May 8.,,,"Gov. Roy Cooper, a Democrat, allowed a variety of businesses to reopen in May. In late June, with case counts trending upward, Mr. Cooper paused North Carolina’s reopening plan and required residents to wear face coverings in public. In early September, Mr. Cooper introduced ""Phase 2.5,"" which allows for the reopening of gyms, bowling alleys, museums and aquariums.",https://www.citizen-times.com/story/news/local/2020/09/01/coronavirus-nc-gyms-reopening-eased-gov-roy-cooper-not-bars/5680214002/,,Movie theaters,Bars,,True,"Salons, barbershops, tattoo parlors",Retail stores,Museums and aquariums; Bowling alleys and skating rinks,Restaurant dining,Pools; Playgrounds; Gyms,10488084
ND,North Dakota,reopened,Reopened May 1.,,,"Gov. Doug Burgum, a Republican, never issued a stay-at-home order, and allowed a variety of businesses to reopen starting May 1. In September, Mr. Burgum reclassified eight counties from the ""low risk"" category into the ""moderate risk"" category under the state's guidance, which recommends—but does not require—reducing capacity limits in businesses. Mr. Burgum also reclassified 13 counties into the ""new normal"" phase, the lowest risk level of the state's guidance.",https://kfgo.com/2020/09/03/covid-threat-level-to-rise-in-some-north-dakota-counties/,,,,,True,"Salons, tattoo parlors, massage therapy, etc.",Retail,Movie theaters; Music and entertainment venues,"Restaurant dining, bars",Gyms; Sports venues,762062
NE,Nebraska,reopened,Reopened May 4.,,,"Gov. Pete Ricketts, a Republican, never issued a stay-at-home order but he put in place several restrictions on businesses, which he began to lift on a regional basis starting in early May. Most of the state will be in Phase 4, which removes all restrictions on a number of businesses, beginning Sept. 14.",https://www.siouxlandproud.com/news/nebraska-news/watch-live-gov-pete-ricketts-holds-press-conference-wednesday-morning/,,,,,True,"Salons, barbershops, tattoo parlors, etc.",Retail,"Zoos, movie theaters, libraries and venues",Restaurant dining; Bars,Pools; Gyms,1934408
NH,New Hampshire,reopened,Reopened May 11.,,,"Gov. Chris Sununu, a Republican, gradually reopened sectors starting in mid-May. On June 15, he allowed his stay-at-home order to expire and reopened businesses on a rolling basis. The final round of businesses reopened, with capacity limits and social distancing guidance, on June 29.",https://www.unionleader.com/news/health/coronavirus/all-nh-businesses-now-have-date-to-reopen/article_558bfac2-5c67-5163-9fa3-7d7fcb426d9f.html,,,,,True,"Barbershops, hair salons, etc.; Nail salons; Tanning salons; Tattoo shops; Acupuncturists and massage therapists",Retail stores,"Libraries, museums, art galleries; Bowling alleys and entertainment centers; Movie theaters; Amusement parks; Live performances",Restaurant dining,Golf courses; Outdoor attractions; Beaches; Gyms; Pools,1359711
NJ,New Jersey,reopened,Reopened June 9.,,,"Gov. Phil Murphy, a Democrat, was one of the last governors to lift a stay-at-home order, on June 9. New Jersey cautiously reopened businesses over the course of May and June, and rolling reopenings were set to continue into July. After putting a pause on plans in July, Mr. Murphy announced the reopening of gyms, indoor entertainment, and indoor dining in early September. ",https://www.njspotlight.com/2020/09/reopening-phase-3-covid-19-phase-2-gov-murphy/,Construction,,,,True,"Hair salons, barbershops; Nail salons, tattoo parlors, spas, massage therapy, tanning salons",Retail stores; Malls,"Libraries for curbside pickup; Casinos; Playgrounds, water parks, amusement parks; Museums, libraries, aquariums; Bowling alleys, batting cages, shooting ranges; Indoor amusement facilities; Movie theaters and other indoor entertainment venues",Restaurant dining,Golf courses; Beaches; Campgrounds; Pools; Gyms,8882190
NM,New Mexico,reopening,Reopened May 16.,,,"Gov. Michelle Lujan Grisham, a Democrat, allowed some sectors to reopen May 16. As cases rose, Ms. Grisham announced she would delay the next phase of reopening indefinitely, and later ordered restaurants to restrict indoor dining. In late August, Ms. Grisham announced that she would allow indoor dining to resume at 25 percent capacity, along with permitting some museums to reopen and increasing the gathering limit to 10 people.",https://www.kob.com/new-mexico-news/new-public-health-order-eases-restrictions-on-gatherings-indoor-dining/5842046/,Offices,Casinos; Theaters,Bars,,True,"Pet grooming and boarding, veterinary services; Hair salons, barbershops, tattoo parlors, massage parlors, nail salons",Retail stores; Malls,Certain museums,"Restaurant dining; Indoor service at breweries, wineries and distilleries","State parks; Golf courses, boating; Gyms, pools",2096829
NV,Nevada,reopened,Reopened May 9.,,,"Gov. Steve Sisolak, a Democrat, kept pace with other states and reopened businesses throughout May. Casinos and gaming were allowed to resume operations on June 4. Over summer, Mr. Sisolak slowed the state's reopening, closing bars in some counties where the virus was resurging, but in mid-September allowed bars to reopen again statewide. ",https://www.kolotv.com/2020/09/03/sisolak-nevada-covid-19-numbers-improve-state-not-ready-to-reopen/,,,,,True,"Barbershops, hair salons and nail salons; Massage therapy; Tattoo and piercing shops",Retail stores; Malls,"Museums, art galleries, zoos and aquariums; Movie theaters, bowling alleys; Gaming",Restaurants; Bars,"Golf courses, pickleball, tennis courts; State parks; Gyms; Pools and water parks",3080156
NY,New York,reopening,Reopened May 29.,,,"Gov. Andrew M. Cuomo, a Democrat, announced limited and phased reopenings by region starting May 15. New York City, the hardest-hit region in the state, became the last to enter Phase 4 of reopening on July 20. But unlike in other regions, indoor dining will remain prohibited in New York City until the end of September.",https://www.nytimes.com/2020/09/09/nyregion/indoor-dining-coronavirus.html,"Construction, manufacturing; Offices; Film and TV production",Movie theaters; Amusement parks,,,True,"Hair salons, barbershops; Tattoo parlors, massage parlors, nail salons",Retail stores; Malls,Bowling alleys; Museums and aquariums; Casinos,Outdoor dining at restaurants in some regions; Indoor dining in some regions,"Beaches; Fishing and hunting; Public pools and playgrounds; Outdoor zoos, botanical gardens and nature parks; Gyms",19453561
OH,Ohio,reopening,Reopened May 12.,,,"Gov. Mike DeWine, a Republican, lifted a stay-at-home order on May 1 and allowed businesses to reopen in phases, starting with retail stores, salons and restaurants. In July, Mr. DeWine asked several counties to limit activities and gatherings of any size, though he did not order any closures. Starting July 23, the use of face masks became mandatory statewide in both indoor and outdoor public spaces. Mr. DeWine allowed school sports and professional sports to resume starting August 21, but limited the spectator attendance to 15 percent.",https://www.wkyc.com/article/news/local/ohio/dewine-clarifies-sports-order-with-number-of-spectators-allowed/95-9b2abc1c-a8ff-462d-bc50-61ca80ad793e,"Manufacturing, distribution, construction; Offices",,,,True,"Salons, barbershops, etc.",Retail stores,"Movie theaters, museums, art galleries; Casinos, racinos, amusement parks, water parks",Restaurant dining and bars,"Campgrounds; Gyms, pools, and sports leagues; Bowling alleys, miniature golf and batting cages; Aquariums, zoos; Skating rinks, playgrounds, country clubs",11689100
OK,Oklahoma,reopened,Reopened April 24.,,,"Gov. Kevin Stitt, a Republican, implemented a three-phase approach to reopening businesses starting April 24. Phase 3 began in June, when all restrictions were lifted on businesses and group gatherings provided people “consider social distancing.”",https://www.tulsaworld.com/news/oklahoma-to-begin-phase-3-of-reopening-monday-after-covid-19-data-shows-promising-downward/article_542617ce-c9e8-5825-bfdd-db6796999793.html#18,Offices,,,,True,"Salons, barbershops, spas, pet groomers, etc.; Tattoo parlors",Retail stores,"Movie theaters, sports venues, museums; Nightclubs",Restaurant dining; Bars,State parks; Zoos; Gyms,3956971
OR,Oregon,pausing,Reopened May 15.,,,"Gov. Kate Brown, a Democrat, started a three-phase regional reopening on May 15, but said Phase 3 would not come until September at the earliest. Masks are required in both indoor and outdoor spaces, and indoor gatherings of more than 10 people are prohibited. In late July, due to an increase in COVID-19 cases, Umatilla County moved back to stay at home status, while Morrow and Malheur counties moved to Phase 1. On September 18, Umatilla and Morrow returned to Phase 2. ",https://www.eastoregonian.com/coronavirus/oregon-governor-tightens-virus-restrictions-for-malheur-county/article_a5ba1480-1070-5aab-9732-27a7df8c5df7.html,Offices in most counties,,,,True,"Salons, barbershops",Retail stores,"Movie theaters, bowling alleys in most counties",Restaurants and bars,Some state parks; Pools in most counties; Gyms,4217737
PA,Pennsylvania,reopened,Reopened May 15.,,,"Gov. Tom Wolf, a Democrat, took a county-by-county approach to shutting down and took a similar approach to reopening, allowing counties to open in phases. By July 3, all of the state was in the last phase of reopening, but wearing a mask is now required in all public places. Starting September 21, indoor dinning will be increased to 50 percent capacity. On September 14, a judge struck down business closures as well as indoor and outdoor gathering limitations imposed by the governor. Mr. Wolf said he would appeal.",https://www.wgal.com/article/gov-tom-wolf-imposes-new-restrictions-on-pennsylvania-bars-restaurants-gatherings/33346910,,,,,True,"Hair salons, barbershops, spas",Retail stores; Shopping malls,"Casinos, theaters",Restaurants and bars,"Golf courses, marinas, private campgrounds; Beaches; State parks; Public pools; Gyms",12801989
PR,Puerto Rico,reversing,Reopened May 26.,,,"Gov. Wanda Vázquez announced a curfew and closed non-essential businesses in March. Restaurants and retail stores were allowed to reopen in late May, but by mid-July she ordered the re-closure of bars, movie theaters, casinos and gyms. Ms. Vázquez also announced a 24-hour lockdown on Sundays beginning August 22, along with reduced capacity in restaurants, malls and houses of worship. Beginning September 12, most businesses will be allowed to reopen, with capacity limits, and the Sunday lockdown will be lifted. A mandatory 10 p.m. to 5 a.m. curfew will remain in place through October 2.",https://apnews.com/0eb37978676268a56ed31a05fa88090b,,,Bars,,True,"Salons, barbershops; Pet grooming",Retail stores; Malls,Museums; Outdoor concerts and other open venues; Movie theaters,Outdoor dining; Casinos,Beaches; Gyms,3193694
